comparison,session_id,reference_frame,phase_label,x_a,y_a,x_b,y_b,pixel_distance,pct_image_diagonal,over_10px,over_25px,over_50px
inter_rater,511a396b-aa38-4056-a980-76723ed0c05f,158,follow_through,856.0,539.0,897.0,466.0,83.72574275573791,3.800693188202298,1,1,1
inter_rater,48c9026f-11c4-410d-82ec-f33d477d9db6,38,backswing,538.0,893.0,575.0,951.0,68.79680225126747,5.855625964316391,1,1,1
inter_rater,48c9026f-11c4-410d-82ec-f33d477d9db6,98,backswing,387.0,754.0,380.0,807.0,53.46026561849464,4.55025973840435,1,1,1
inter_rater,48c9026f-11c4-410d-82ec-f33d477d9db6,174,backswing,92.0,105.0,141.0,0.0,115.87061750072795,9.862304266127946,1,1,1
inter_rater,48c9026f-11c4-410d-82ec-f33d477d9db6,180,downswing,88.0,121.0,116.0,43.0,82.87339742040264,7.0537525263694985,1,1,1
inter_rater,48c9026f-11c4-410d-82ec-f33d477d9db6,233,downswing,475.0,870.0,360.0,926.0,127.91012469699183,10.887044495746945,1,1,1
inter_rater,48c9026f-11c4-410d-82ec-f33d477d9db6,249,follow_through,353.0,670.0,396.0,732.0,75.45197147855052,6.422079352394906,1,1,1
intra_rater_ivan,36b05de8-5e98-425f-8b72-8e505337e150,1,backswing,989.0,1685.0,921.0,1725.0,78.89233169326408,3.581282623466914,1,1,1
intra_rater_ivan,36b05de8-5e98-425f-8b72-8e505337e150,61,downswing,269.0,955.0,324.0,975.0,58.52349955359813,2.6566484665539383,1,1,1
intra_rater_ivan,36b05de8-5e98-425f-8b72-8e505337e150,69,downswing,984.0,1672.0,838.0,1809.0,200.21238722916223,9.088553069700277,1,1,1
intra_rater_ivan,36b05de8-5e98-425f-8b72-8e505337e150,73,impact_region,979.0,1669.0,977.0,1615.0,54.037024344425184,2.4529869019585795,1,1,1
intra_rater_ivan,36b05de8-5e98-425f-8b72-8e505337e150,80,follow_through,227.0,739.0,106.0,879.0,185.04323819042943,8.399956235265076,1,1,1
intra_rater_ivan,36b05de8-5e98-425f-8b72-8e505337e150,83,follow_through,464.0,784.0,433.0,762.0,38.01315561749642,1.7255904440165897,1,1,0
intra_rater_ivan,81681211-21c8-4d55-9d89-095b3a80d022,59,backswing,845.0,1557.0,841.0,1494.0,63.12685640834652,2.8656158219317143,1,1,1
intra_rater_ivan,81681211-21c8-4d55-9d89-095b3a80d022,273,backswing,195.0,539.0,138.0,497.0,70.80254232723568,3.214050200971046,1,1,1
intra_rater_ivan,81681211-21c8-4d55-9d89-095b3a80d022,502,downswing,256.0,664.0,396.0,556.0,176.81628884240274,8.026497495843055,1,1,1
intra_rater_ivan,81681211-21c8-4d55-9d89-095b3a80d022,522,downswing,725.0,1448.0,714.0,1471.0,25.495097567963924,1.1573387165021327,1,1,0
intra_rater_ivan,81681211-21c8-4d55-9d89-095b3a80d022,547,follow_through,736.0,1392.0,870.0,1318.0,153.07514494521962,6.948778733127501,1,1,1
intra_rater_ivan,81681211-21c8-4d55-9d89-095b3a80d022,562,follow_through,595.0,1157.0,546.0,1167.0,50.00999900019995,2.270181861468617,1,1,1
intra_rater_ivan,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,100,backswing,893.0,1864.0,884.0,1810.0,54.74486277268398,2.4851189154120723,1,1,1
intra_rater_ivan,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,107,backswing,379.0,1491.0,371.0,1512.0,22.47220505424423,1.0201158432565587,1,0,0
intra_rater_ivan,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,122,backswing,264.0,853.0,158.0,953.0,145.72576985557495,6.615157090352145,1,1,1
intra_rater_ivan,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,123,backswing,301.0,896.0,249.0,829.0,84.81155581640984,3.849983193492505,1,1,1
intra_rater_ivan,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,132,impact_region,723.0,1472.0,672.0,1654.0,189.01058171435798,8.580052045828909,1,1,1
intra_rater_ivan,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,134,follow_through,75.0,597.0,22.0,592.0,53.23532661682466,2.4165941869822793,1,1,1
intra_rater_ivan,42f8729a-ed28-45a2-bf9b-397d2d698bb0,1,backswing,1287.0,933.0,1313.0,933.0,26.0,1.1802585398561605,1,1,0
intra_rater_ivan,42f8729a-ed28-45a2-bf9b-397d2d698bb0,24,backswing,645.0,320.0,680.0,324.0,35.22782990761707,1.5991518111178964,1,1,0
intra_rater_ivan,42f8729a-ed28-45a2-bf9b-397d2d698bb0,43,backswing,864.0,381.0,971.0,525.0,179.4017837146554,8.143864895948072,1,1,1
intra_rater_ivan,42f8729a-ed28-45a2-bf9b-397d2d698bb0,46,downswing,876.0,393.0,942.0,344.0,82.20097323024831,3.7314769476726233,1,1,1
